class,age,sex,survived
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,1
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,male,0
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,1
first,adult,female,0
first,adult,female,0
first,adult,female,0
first,adult,female,0
first,child,male,1
first,child,male,1
first,child,male,1
first,child,male,1
first,child,male,1
first,child,female,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,1
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,male,0
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,1
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,adult,female,0
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,male,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
second,child,female,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,1
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
third,adult,male,0
